Variation,Embedding,Classifier,Accuracy,Precision,Recall,F1_Score
var_3_all_no_emoji,BERT,MLP_NeuralNet,56.35,56.6,56.35,56.37
var_3_all_no_emoji,BERT,XGBoost,63.89,64.29,63.89,63.89
var_3_all_no_emoji,ROBERTA,Naive_Bayes,36.51,44.88,36.51,36.88
var_3_all_no_emoji,ROBERTA,LinearSVC,78.97,79.77,78.97,78.86
var_3_all_no_emoji,ROBERTA,MLP_NeuralNet,68.25,68.32,68.25,68.28
var_3_all_no_emoji,ROBERTA,XGBoost,70.63,70.8,70.63,70.54
var_3_all_no_emoji,SBERT,Naive_Bayes,73.41,74.79,73.41,73.41
var_3_all_no_emoji,SBERT,LinearSVC,77.78,78.75,77.78,77.61
var_3_all_no_emoji,SBERT,MLP_NeuralNet,67.06,67.01,67.06,67.01
var_3_all_no_emoji,SBERT,XGBoost,73.02,73.72,73.02,72.8
,,,,,,
var_4_all_no_hash_no_elong,TFIDF,Naive_Bayes,55.16,56.51,55.16,54.12
var_4_all_no_hash_no_elong,TFIDF,LinearSVC,69.05,70.12,69.05,68.98
var_4_all_no_hash_no_elong,TFIDF,MLP_NeuralNet,63.49,64.46,63.49,63.24
var_4_all_no_hash_no_elong,TFIDF,XGBoost,62.7,66.51,62.7,62.45
var_4_all_no_hash_no_elong,W2V,Naive_Bayes,42.86,53.42,42.86,34.22
var_4_all_no_hash_no_elong,W2V,LinearSVC,66.27,67.04,66.27,66.27
var_4_all_no_hash_no_elong,W2V,MLP_NeuralNet,53.17,53.34,53.17,52.82
var_4_all_no_hash_no_elong,W2V,XGBoost,60.71,61.06,60.71,60.69
var_4_all_no_hash_no_elong,GLOVE,Naive_Bayes,44.44,51.84,44.44,36.94
var_4_all_no_hash_no_elong,GLOVE,LinearSVC,70.24,70.72,70.24,69.97
var_4_all_no_hash_no_elong,GLOVE,MLP_NeuralNet,60.32,61.73,60.32,60.11
var_4_all_no_hash_no_elong,GLOVE,XGBoost,63.1,63.08,63.1,62.79
var_4_all_no_hash_no_elong,FASTTEXT,Naive_Bayes,39.68,42.93,39.68,30.48
var_4_all_no_hash_no_elong,FASTTEXT,LinearSVC,66.67,67.3,66.67,66.51
var_4_all_no_hash_no_elong,FASTTEXT,MLP_NeuralNet,58.33,58.72,58.33,58.27
var_4_all_no_hash_no_elong,FASTTEXT,XGBoost,55.56,56.68,55.56,54.72
var_4_all_no_hash_no_elong,BERT,Naive_Bayes,58.33,60.52,58.33,57.5
var_4_all_no_hash_no_elong,BERT,LinearSVC,65.48,65.74,65.48,65.54
var_4_all_no_hash_no_elong,BERT,MLP_NeuralNet,55.95,56.83,55.95,56.03
